network,station_code,chinese_station_name,english_station_name,lat,lon,elevation,start_time,end_time,location_county,location_district
GW,CHI,赤山,ChiShan,22.5924,120.6144,26.78000000,2005-12-23,2599-12-31,屏東縣,萬巒鄉
GW,DON,東和,DonHor,23.6849,120.5699,75.41000000,2019-03-16,2599-12-31,雲林縣,古坑鄉
GW,HWA,花蓮,Hualien,23.9754,121.6133,16.08800000,2004-03-16,2599-12-31,花蓮縣,花蓮市
GW,LIU,六甲,LiuJar,23.2254,120.3506,26.87000000,2019-03-16,2599-12-31,台南市,六甲區
GW,NAB,那菝,NaBa,23.0691,120.3487,42.77000000,2019-03-16,2599-12-31,台南市,新化區
GW,TUN,壯圍,TunWei,24.7437,121.7896,3.79000000,2019-03-16,2599-12-31,宜蘭縣,壯圍鄉
