network,station_code,chinese_station_name,english_station_name,lat,lon,elevation,start_time,end_time,location_county,location_district
GNSS,HUAL,花蓮,HUAL,23.97539,121.61352,46.3249,1993-10-08,2599-12-31,花蓮縣,花蓮市
GNSS,HUAN,合歡山,HUAN,24.14348,121.27263,3421.6169,2001-11-22,2599-12-31,南投縣,仁愛鄉
GNSS,HUAP,和平國小,HUAP,24.309,121.74945,42.9998,2004-05-24,2599-12-31,花蓮縣,秀林鄉
GNSS,HUWE,虎尾,HUWE,23.7294,120.28663,28.5567,2005-04-07,2599-12-31,雲林縣,東勢鄉
GNSS,HUYS,惠蓀林場,HUYS,24.09233,121.02941,855.8069,2006-03-22,2599-12-31,南投縣,仁愛鄉
GNSS,ICHU,義竹,ICHU,23.36066,120.27931,32.6555,2004-01-01,2599-12-31,嘉義縣,義竹鄉
GNSS,ILAN,宜蘭,ILAN,24.76404,121.75663,28.6437,1994-04-25,2599-12-31,宜蘭縣,宜蘭市
GNSS,JLUT,加祿堂,JLUT,22.32996,120.62279,29.9819,2004-06-04,2599-12-31,屏東縣,枋山鄉
GNSS,JSAN,竹山高中,JSAN,23.76124,120.68086,192.5680,2015-10-21,2599-12-31,南投縣,竹山鎮
GNSS,JSU2,瑞穗2,JSU2,23.49236,121.42375,121.2824,2021-01-25,2599-12-31,花蓮縣,瑞穗鄉
GNSS,JSUI,瑞穗,JSUI,23.49199,121.42389,119.2113,2003-05-13,2021-01-25,花蓮縣,瑞穗鄉
GNSS,JYAN,佳陽,JYAN,24.24247,121.22635,1967.4775,2004-05-21,2599-12-31,臺中市,和平區
GNSS,KASU,高泰農場,KASU,22.81019,120.63298,189.3345,2005-08-27,2599-12-31,屏東縣,高樹鄉
GNSS,KHLZ,路竹高中,KHLZ,22.8559,120.25295,58.0610,2016-02-18,2599-12-31,高雄市,路竹區
GNSS,KIMN,金門,KIMN,24.40744,118.28919,51.6991,2016-11-10,2599-12-31,金門縣,金城鎮
GNSS,KSH2,關西2,KSH2,24.77609,121.17607,168.5062,2021-08-21,2599-12-31,新竹縣,關西鎮
GNSS,KSHI,關西,KSHI,24.77667,121.17604,168.3458,2001-11-06,2021-08-21,新竹縣,關西鎮
GNSS,KUA2,關山國小2,KUA2,23.04958,121.16339,270.9407,2016-10-28,2599-12-31,臺東縣,關山鎮
GNSS,KUAN,關山國小,KUAN,23.04969,121.16425,252.1998,2006-04-04,2016-10-26,臺東縣,關山鎮
GNSS,KYI2,觀音2,KYI2,25.04096,121.08051,32.4210,2018-12-20,2599-12-31,桃園市,觀音區
GNSS,KYIN,觀音,KYIN,25.04105,121.08043,32.1011,2004-05-21,2018-12-20,桃園市,觀音區
GNSS,LANB,蘭嶼B,LANB,22.03722,121.55815,348.7596,2005-11-07,2010-10-17,臺東縣,蘭嶼鄉
GNSS,LANY,蘭嶼,LANY,22.03732,121.5581,347.9690,1994-01-01,2599-12-31,臺東縣,蘭嶼鄉
GNSS,LAOL,老力里,LAOL,22.41192,120.6873,1059.7406,2007-01-09,2022-12-02,屏東縣,春日鄉
GNSS,LGU2,六龜2,LGU2,22.99378,120.63497,292.6314,2016-02-02,2599-12-31,高雄市,六龜區
GNSS,LGUE,六龜,LGUE,22.99291,120.63538,268.9110,2005-11-15,2599-12-31,高雄市,六龜區
GNSS,LIKN,里港彭厝,LIKN,22.75861,120.52791,63.4380,2004-02-27,2599-12-31,屏東縣,里港鄉
GNSS,LIU2,小琉球2,LIU2,22.34615,120.36866,67.9659,2015-11-30,2599-12-31,屏東縣,琉球鄉
GNSS,LIUC,小琉球,LIUC,22.34668,120.36907,62.1429,1995-04-26,2015-11-30,屏東縣,琉球鄉
GNSS,LNK2,林口2,LNK2,25.07764,121.37715,282.9949,2019-01-04,2599-12-31,新北市,林口區
GNSS,LNKO,林口,LNKO,25.07637,121.37819,266.4150,2005-11-07,2018-12-19,新北市,林口區
GNSS,LONT,鹿野龍田,LONT,22.90632,121.13056,203.5928,2002-12-13,2599-12-31,臺東縣,鹿野鄉
GNSS,LTUN,羅東,LTUN,24.70003,121.77163,28.0741,2004-02-18,2599-12-31,宜蘭縣,五結鄉
GNSS,LUGU,鹿谷,LUGU,23.75227,120.74769,496.8101,2005-11-29,2010-03-18,南投縣,鹿谷鄉
GNSS,LUKN,鹿港,LUKN,24.06001,120.43514,24.3045,2001-11-13,2599-12-31,彰化縣,鹿港鎮
GNSS,LUSN,廬山,LUSN,24.03519,121.18605,1448.1221,2006-12-21,2016-04-11,南投縣,仁愛鄉
GNSS,MATZ,馬祖,MATZ,26.1694,119.92307,110.2093,2005-11-07,2599-12-31,連江縣,南竿鄉
GNSS,MFEN,梅峰,MFEN,24.08216,121.17248,2237.0611,2005-10-19,2599-12-31,南投縣,仁愛鄉
GNSS,MIAO,西山,MIAO,24.58345,120.81027,171.1056,2003-05-26,2599-12-31,苗栗縣,苗栗市
GNSS,MITO,岡山彌陀,MITO,22.79586,120.26316,30.4401,2004-06-01,2012-06-27,高雄市,岡山區
GNSS,MLO1,美濃1,MLO1,22.89996,120.55382,75.3544,2007-01-08,2599-12-31,高雄市,美濃區
GNSS,MUDA,牡丹國小,MUDA,22.17615,120.83716,308.2354,2013-10-28,2022-05-22,屏東縣,牡丹鄉
GNSS,NAAO,南澳,NAAO,24.44935,121.81022,25.9587,2004-04-06,2599-12-31,宜蘭縣,蘇澳鎮
GNSS,NANK,南科,NANK,23.10199,120.2744,26.5272,2003-04-16,2019-05-02,臺南市,新市區
GNSS,NCKU,歸仁,NCKU,22.93845,120.27581,43.4193,2001-01-04,2599-12-31,臺南市,歸仁區
GNSS,NDHU,東華大學,NDHU,23.89724,121.55082,57.0144,2005-03-30,2599-12-31,花蓮縣,壽豐鄉
GNSS,NEMN,內門,NEMN,22.90812,120.42008,104.8247,2006-09-06,2599-12-31,高雄市,內門區
GNSS,NHSI,南溪,NHSI,23.40622,121.45301,137.3479,2005-08-30,2599-12-31,臺東縣,長濱鄉
GNSS,NIPU,寧埔國小,NIPU,23.24333,121.41211,68.0452,2013-11-22,2599-12-31,臺東縣,長濱鄉
GNSS,NIUT,牛鬥,NIUT,24.63478,121.56159,386.6645,2004-07-09,2599-12-31,宜蘭縣,三星鄉
GNSS,NJO2,南州糞箕湖2,NJO2,22.50383,120.57135,51.7446,2024-04-05,2599-12-31,屏東縣,新埤鄉
GNSS,NJOU,南州糞箕湖,NJOU,22.5039,120.57141,52.1382,2004-02-27,2024-04-04,屏東縣,新埤鄉
GNSS,NSAN,南山,NSAN,24.4282,121.38281,1132.4323,2006-12-05,2599-12-31,宜蘭縣,大同鄉
GNSS,NSHE,新社,NSHE,24.2258,120.80091,487.5651,2001-11-15,2599-12-31,臺中市,新社區
GNSS,PAKU,八卦山,PAKU,23.91568,120.63604,432.0202,2007-12-20,2599-12-31,南投縣,南投市
GNSS,PANG,澎湖,PANG,23.5652,119.56375,29.2756,1993-10-08,2599-12-31,澎湖縣,馬公市
GNSS,PAO2,頂埔國小,PAO2,24.70795,120.92308,85.2391,2015-10-20,2599-12-31,苗栗縣,竹南鎮
GNSS,PAOS,啟寶,PAOS,24.71493,120.95028,96.4888,2003-01-02,2015-10-20,新竹縣,寶山鄉
GNSS,PEI1,北門1,PEI1,23.29384,120.1686,23.0741,2003-09-27,2599-12-31,臺南市,北門區
GNSS,PEIN,卑南,PEIN,22.80108,121.12313,76.5379,2005-08-26,2599-12-31,臺東縣,臺東市
GNSS,PENL,蓬萊,PENL,24.53884,120.97604,659.5565,2004-12-10,2019-01-23,苗栗縣,南庄鄉
GNSS,PEPU,北埔,PEPU,24.01789,121.61034,36.0210,2001-10-31,2019-08-07,花蓮縣,新城鄉
GNSS,PLA2,白蘭2,PLA2,24.57883,121.08638,1126.3849,2015-04-01,2599-12-31,新竹縣,五峰鄉
GNSS,PLAN,白蘭,PLAN,24.57896,121.08661,1122.8045,2001-12-14,2015-04-01,新竹縣,五峰鄉
GNSS,PLIN,坪林,PLIN,24.93363,121.71396,271.0405,2004-02-04,2599-12-31,新北市,坪林區
GNSS,PNCY,彭佳嶼,PNCY,25.62749,122.07944,124.2611,2008-12-27,2599-12-31,基隆市,中正區
GNSS,PNLA,蓬萊國小,PNLA,24.54293,120.9705,488.1929,2019-01-23,2599-12-31,苗栗縣,南庄鄉
GNSS,PTDG,東新國中,PTDG,22.47386,120.46525,43.4798,2016-05-13,2599-12-31,屏東縣,東港鎮
GNSS,PTUN,六塊厝,PTUN,22.64985,120.45969,40.5336,2004-02-27,2023-09-09,屏東縣,屏東市
GNSS,PUS2,埔心2,PUS2,23.97019,120.52577,46.9295,2016-01-08,2599-12-31,彰化縣,埔心鄉
GNSS,PUSN,埔心,PUSN,23.96494,120.52012,38.9722,2002-12-24,2016-01-08,彰化縣,埔心鄉
GNSS,SAJ2,三芝2,SAJ2,121.50164,25.26094,75.7500,2025-03-27,2599-12-31,新北市,三芝區
GNSS,SAN2,三義2,SAN2,24.41363,120.76918,328.8196,2015-10-21,2599-12-31,苗栗縣,三義鄉
GNSS,SAND,三地門,SAND,22.71727,120.64065,203.2328,2005-11-16,2599-12-31,屏東縣,三地門鄉
GNSS,SANI,三義,SANI,24.41435,120.76874,335.5522,1997-03-26,2015-10-21,苗栗縣,三義鄉
GNSS,SANJ,三芝,SANJ,25.2608,121.50088,74.2073,2005-07-14,2024-07-03,新北市,三芝區
GNSS,SANL,杉林溪,SANL,23.66448,120.76856,1691.6814,2006-12-04,2599-12-31,南投縣,竹山鎮
GNSS,SFON,新豐,SFON,24.9329,121.01017,52.8246,2001-11-26,2599-12-31,新竹縣,新豐鄉
GNSS,SGAN,桂林公園,SGAN,22.58127,120.34966,30.2518,2006-05-19,2599-12-31,高雄市,小港區
GNSS,SGUN,神岡,SGUN,24.27163,120.69189,196.0051,2006-04-23,2599-12-31,臺中市,神岡區
GNSS,SHLU,望高寮,SHLU,24.14445,120.57831,297.5331,2005-07-01,2025-07-24,臺中市,南屯區
GNSS,SHUL,水璉國中,SHUL,23.78762,121.56274,57.9028,2005-07-01,2599-12-31,花蓮縣,壽豐鄉
GNSS,SHWA,虎頭埤,SHWA,23.02143,120.34781,89.6022,2005-12-23,2599-12-31,臺南市,新化區
GNSS,SINL,興隆,SINL,22.90829,121.25463,96.4703,2005-06-08,2022-03-04,臺東縣,東河鄉
GNSS,SLIN,西林,SLIN,23.81186,121.44141,202.7193,2001-11-01,2599-12-31,花蓮縣,萬榮鄉
GNSS,SLNP,雙連埤,SLNP,24.75312,121.63564,491.8680,2004-02-26,2599-12-31,宜蘭縣,員山鄉
GNSS,SONA,松安,SONA,24.39782,120.98585,1353.8430,2001-11-07,2599-12-31,苗栗縣,泰安鄉
GNSS,SPAO,西寶,SPAO,24.20502,121.48487,984.5033,2004-04-07,2599-12-31,花蓮縣,秀林鄉
